train/episode,stats_o/std,test/success_rate,test/mean_Q,epoch,stats_g/std,stats_o/mean,stats_g/mean,train/success_rate,test/episode
100.0,0.06627625226974487,0.0,-3.32729172706604,0,0.12630240619182587,0.17064504325389862,0.7417131066322327,0.0033333333333333335,20.0
200.0,0.06352116167545319,0.0,-5.2151947021484375,1,0.11893599480390549,0.17130546271800995,0.7427880167961121,0.0,40.0
300.0,0.06326374411582947,0.0,-7.188093185424805,2,0.12019256502389908,0.17092233896255493,0.7432207465171814,0.006666666666666667,60.0
400.0,0.06439530849456787,0.0,-9.300642967224121,3,0.12251821905374527,0.17109353840351105,0.7446274757385254,0.0,80.0
500.0,0.06620268523693085,0.016666666666666666,-11.029650688171387,4,0.12614241242408752,0.17149895429611206,0.7459552884101868,0.01,100.0
600.0,0.06732003390789032,0.0,-12.640765190124512,5,0.1274695098400116,0.1718047708272934,0.7466303706169128,0.0,120.0
700.0,0.0699627697467804,0.016666666666666666,-13.442925453186035,6,0.13226769864559174,0.17244333028793335,0.7478694915771484,0.016666666666666666,140.0
800.0,0.07095283269882202,0.016666666666666666,-13.899497985839844,7,0.1374157816171646,0.17263370752334595,0.7491068840026855,0.013333333333333334,160.0
900.0,0.07266104966402054,0.0,-16.04960823059082,8,0.14098170399665833,0.17274397611618042,0.7503707408905029,0.013333333333333334,180.0
1000.0,0.07479745149612427,0.03333333333333333,-16.57591438293457,9,0.14687252044677734,0.17277906835079193,0.7521254420280457,0.023333333333333334,200.0
1100.0,0.07706570625305176,0.06666666666666667,-16.971649169921875,10,0.1517171710729599,0.17317356169223785,0.7536265850067139,0.03333333333333333,220.0
1200.0,0.0803157389163971,0.09999999999999999,-16.63408660888672,11,0.1565234512090683,0.17362195253372192,0.7544727921485901,0.02666666666666667,240.0
1300.0,0.08308788388967514,0.11666666666666668,-16.640573501586914,12,0.1621270328760147,0.17410200834274292,0.7561516165733337,0.03666666666666667,260.0
1400.0,0.08689301460981369,0.03333333333333333,-16.70160675048828,13,0.16778236627578735,0.1747535914182663,0.7586894035339355,0.04,280.0
1500.0,0.08966675400733948,0.09999999999999999,-13.462310791015625,14,0.17182981967926025,0.17525143921375275,0.7610058188438416,0.03,300.0
1600.0,0.09076691418886185,0.10000000000000002,-14.676875114440918,15,0.17325739562511444,0.1758762151002884,0.7639901041984558,0.07666666666666667,320.0
1700.0,0.0924016460776329,0.16666666666666666,-12.992782592773438,16,0.1756681203842163,0.17645575106143951,0.7668244242668152,0.09666666666666666,340.0
1800.0,0.09346330910921097,0.15,-14.770584106445312,17,0.17718245089054108,0.1769850105047226,0.769463837146759,0.08333333333333333,360.0
1900.0,0.09361843019723892,0.15,-13.044028282165527,18,0.17796427011489868,0.17758841812610626,0.7726263999938965,0.09666666666666668,380.0
2000.0,0.09368380904197693,0.2833333333333333,-12.474654197692871,19,0.17828470468521118,0.17826861143112183,0.7752612233161926,0.13,400.0
2100.0,0.0938054546713829,0.2333333333333333,-12.455883026123047,20,0.17871443927288055,0.17885227501392365,0.778125524520874,0.10333333333333333,420.0
2200.0,0.09384093433618546,0.3833333333333333,-10.542682647705078,21,0.17860007286071777,0.17935068905353546,0.7809023857116699,0.15333333333333335,440.0
2300.0,0.09387537091970444,0.2833333333333334,-11.636344909667969,22,0.17876605689525604,0.17979180812835693,0.7832993865013123,0.09666666666666666,460.0
2400.0,0.09369053691625595,0.3499999999999999,-12.138648986816406,23,0.17835278809070587,0.1801801323890686,0.7853037714958191,0.11666666666666665,480.0
2500.0,0.09367009997367859,0.26666666666666666,-11.749051094055176,24,0.17833299934864044,0.1805930882692337,0.7872700095176697,0.13,500.0
2600.0,0.0934612825512886,0.4166666666666667,-11.114750862121582,25,0.17794962227344513,0.18094485998153687,0.7890263199806213,0.11666666666666668,520.0
2700.0,0.09366553276777267,0.3333333333333333,-12.28063678741455,26,0.177395761013031,0.18134069442749023,0.7907505631446838,0.12666666666666668,540.0
2800.0,0.09374751895666122,0.3333333333333333,-13.030379295349121,27,0.17703475058078766,0.18174199759960175,0.7922802567481995,0.14333333333333334,560.0
2900.0,0.09382716566324234,0.46666666666666673,-10.706222534179688,28,0.17652763426303864,0.18203188478946686,0.79360431432724,0.15666666666666665,580.0
3000.0,0.09389937669038773,0.31666666666666665,-13.760941505432129,29,0.17590473592281342,0.1823393553495407,0.7950562834739685,0.17333333333333334,600.0
3100.0,0.09379595518112183,0.26666666666666666,-13.1719388961792,30,0.17552293837070465,0.18263523280620575,0.796024739742279,0.15333333333333332,620.0
3200.0,0.09376528859138489,0.55,-9.404641151428223,31,0.17488937079906464,0.18289560079574585,0.7973219752311707,0.16333333333333333,640.0
3300.0,0.09357861429452896,0.4000000000000001,-12.246441841125488,32,0.17422880232334137,0.1831388622522354,0.7981913685798645,0.15666666666666668,660.0
3400.0,0.09332650154829025,0.4166666666666667,-12.89734172821045,33,0.17353208363056183,0.18335872888565063,0.7991688251495361,0.15666666666666665,680.0
3500.0,0.0932600125670433,0.31666666666666665,-13.39409351348877,34,0.17303131520748138,0.18359987437725067,0.7998530864715576,0.16,700.0
3600.0,0.0932023748755455,0.4833333333333334,-13.618049621582031,35,0.1728736311197281,0.1838054060935974,0.8007743954658508,0.17,720.0
3700.0,0.09311803430318832,0.4666666666666666,-11.915411949157715,36,0.17239190638065338,0.1840033084154129,0.8016793727874756,0.17666666666666667,740.0
3800.0,0.092936672270298,0.39999999999999997,-12.97130298614502,37,0.1718856543302536,0.1841433197259903,0.8024706840515137,0.15,760.0
3900.0,0.09269265085458755,0.4666666666666666,-11.53231430053711,38,0.17140412330627441,0.18436886370182037,0.8032989501953125,0.17,780.0
4000.0,0.09248330444097519,0.3,-14.881430625915527,39,0.1709737926721573,0.18456552922725677,0.8040177822113037,0.13999999999999999,800.0
4100.0,0.09236546605825424,0.5,-11.973088264465332,40,0.17052382230758667,0.18476812541484833,0.8049623966217041,0.16,820.0
4200.0,0.09217255562543869,0.35000000000000003,-15.567852973937988,41,0.17006979882717133,0.18496204912662506,0.8055908679962158,0.14,840.0
4300.0,0.09205847978591919,0.45,-12.952823638916016,42,0.1697903871536255,0.18510104715824127,0.8062109351158142,0.17333333333333334,860.0
4400.0,0.09205470234155655,0.5166666666666667,-11.514410972595215,43,0.1695229560136795,0.18532274663448334,0.8068304061889648,0.13333333333333333,880.0
4500.0,0.09200436621904373,0.31666666666666665,-13.365368843078613,44,0.1691719889640808,0.1854439228773117,0.807339608669281,0.18000000000000002,900.0
4600.0,0.09230855852365494,0.2833333333333333,-11.59253215789795,45,0.168997660279274,0.18550680577754974,0.8072685599327087,0.11,920.0
4700.0,0.09256935119628906,0.3333333333333333,-12.269679069519043,46,0.1689281463623047,0.1854162961244583,0.8067240715026855,0.09999999999999999,940.0
4800.0,0.0923895463347435,0.4166666666666667,-11.033313751220703,47,0.16855555772781372,0.1852937936782837,0.8061402440071106,0.10666666666666667,960.0
4900.0,0.09259819984436035,0.4166666666666667,-12.195080757141113,48,0.16887618601322174,0.18520160019397736,0.8053721785545349,0.08333333333333333,980.0
5000.0,0.0926675796508789,0.26666666666666666,-11.99051570892334,49,0.16903118789196014,0.18510669469833374,0.804717481136322,0.10666666666666667,1000.0
