test/mean_Q,test/success_rate,train/success_rate,train/episode,epoch,stats_o/std,stats_o/mean,stats_g/std,test/episode,stats_g/mean
-0.6087942719459534,0.8166666666666668,0.2333333333333333,20.0,0,0.032423630356788635,0.25609758496284485,0.10233955830335617,20.0,0.8539837002754211
-0.7434377670288086,0.7999999999999999,0.7333333333333334,40.0,1,0.030371328815817833,0.25968843698501587,0.09332195669412613,40.0,0.865684449672699
-0.6522753834724426,0.9,0.6833333333333332,60.0,2,0.0297215785831213,0.26041340827941895,0.09030541032552719,60.0,0.8664585947990417
-0.607653796672821,0.9833333333333334,0.7166666666666667,80.0,3,0.029774164780974388,0.26131099462509155,0.09049353003501892,80.0,0.8702013492584229
-0.4265173673629761,0.9666666666666667,0.7999999999999999,100.0,4,0.029772380366921425,0.2618870139122009,0.08953035622835159,100.0,0.8727847933769226
-0.30550655722618103,1.0,0.8166666666666668,120.0,5,0.029938185587525368,0.26189500093460083,0.08915691822767258,120.0,0.8726162910461426
-0.24326039850711823,1.0,0.8000000000000002,140.0,6,0.029863381758332253,0.26183661818504333,0.08793731778860092,140.0,0.8724312782287598
-0.12291896343231201,1.0,0.7999999999999999,160.0,7,0.029773587360978127,0.2619911730289459,0.08702915906906128,160.0,0.8730719089508057
-0.12500768899917603,1.0,0.8000000000000002,180.0,8,0.029879530891776085,0.2621062695980072,0.08683275431394577,180.0,0.8733701705932617
-0.12186966091394424,1.0,0.8666666666666667,200.0,9,0.0300606582313776,0.262177437543869,0.08696410804986954,200.0,0.8735625147819519
-0.1374027580022812,1.0,0.7666666666666666,220.0,10,0.030158767476677895,0.2620539665222168,0.08693501353263855,220.0,0.8731167912483215
-0.13215912878513336,1.0,0.8333333333333334,240.0,11,0.030212024226784706,0.26205188035964966,0.08678122609853745,240.0,0.8730287551879883
-0.11429706960916519,1.0,0.75,260.0,12,0.030279934406280518,0.2621031701564789,0.08680973201990128,260.0,0.8732741475105286
-0.12996861338615417,1.0,0.7833333333333333,280.0,13,0.030371496453881264,0.2624328136444092,0.08699793368577957,280.0,0.8744828701019287
-0.13605526089668274,1.0,0.7166666666666667,300.0,14,0.03041047416627407,0.2625058889389038,0.08701762557029724,300.0,0.8746822476387024
-0.10434788465499878,1.0,0.7833333333333333,320.0,15,0.03041415475308895,0.26261430978775024,0.08697245270013809,320.0,0.8751112818717957
-0.08426922559738159,1.0,0.7999999999999999,340.0,16,0.030467519536614418,0.2625848650932312,0.08703390508890152,340.0,0.8750228881835938
-0.1263609677553177,1.0,0.7166666666666668,360.0,17,0.030482029542326927,0.26262906193733215,0.08698467165231705,360.0,0.875207245349884
-0.11838466674089432,1.0,0.8166666666666668,380.0,18,0.03053984045982361,0.2626161277294159,0.08704676479101181,380.0,0.8751476407051086
-0.13115978240966797,1.0,0.75,400.0,19,0.03064451552927494,0.2626742124557495,0.08731818199157715,400.0,0.8752854466438293
-0.10058432817459106,1.0,0.7833333333333333,420.0,20,0.030614113435149193,0.2627318203449249,0.08712565153837204,420.0,0.8755170702934265
-0.10494309663772583,1.0,0.8000000000000002,440.0,21,0.030661189928650856,0.2627072036266327,0.08719425648450851,440.0,0.875399112701416
-0.0673406794667244,1.0,0.7666666666666666,460.0,22,0.030628636479377747,0.2627565264701843,0.08700720220804214,460.0,0.875632107257843
-0.09598944336175919,1.0,0.7666666666666666,480.0,23,0.03061504103243351,0.2628836929798126,0.08693008869886398,480.0,0.8761477470397949
-0.1099402904510498,1.0,0.7666666666666666,500.0,24,0.030631965026259422,0.26294633746147156,0.08689981698989868,500.0,0.8763207793235779
-0.10214004665613174,1.0,0.6833333333333332,520.0,25,0.030662143602967262,0.2629796862602234,0.08696027845144272,520.0,0.8764000535011292
-0.1433199644088745,1.0,0.7833333333333333,540.0,26,0.030678996816277504,0.26299840211868286,0.0869942307472229,540.0,0.8764849305152893
-0.09297623485326767,1.0,0.8166666666666668,560.0,27,0.03065640665590763,0.26301321387290955,0.08682703226804733,560.0,0.8765519261360168
-0.11105996370315552,1.0,0.7833333333333333,580.0,28,0.030690932646393776,0.2629903554916382,0.08687040954828262,580.0,0.8764343857765198
-0.10367240756750107,1.0,0.7333333333333334,600.0,29,0.030667250975966454,0.2629653811454773,0.08673863857984543,600.0,0.8763882517814636
-0.08860041946172714,1.0,0.8833333333333333,620.0,30,0.03067024052143097,0.26299142837524414,0.08673775941133499,620.0,0.876509964466095
-0.07450209558010101,1.0,0.7666666666666666,640.0,31,0.03066321276128292,0.26302090287208557,0.08669713884592056,640.0,0.8765990138053894
-0.11948033422231674,1.0,0.75,660.0,32,0.03069842793047428,0.2629898488521576,0.08681312203407288,660.0,0.8764796257019043
-0.0880042091012001,1.0,0.7666666666666666,680.0,33,0.030705949291586876,0.26299649477005005,0.08684283494949341,680.0,0.8765239715576172
-0.08928409963846207,1.0,0.8166666666666668,700.0,34,0.03068862296640873,0.2629871964454651,0.08672522753477097,700.0,0.8764570355415344
-0.07645761966705322,1.0,0.75,720.0,35,0.030680710449814796,0.26302921772003174,0.08665408939123154,720.0,0.8766019940376282
-0.08277720212936401,1.0,0.75,740.0,36,0.030675837770104408,0.2630370259284973,0.0865977331995964,740.0,0.8766381740570068
-0.08778166770935059,1.0,0.7666666666666666,760.0,37,0.03068684972822666,0.2630094587802887,0.08662659674882889,760.0,0.876533031463623
-0.09079211205244064,1.0,0.7666666666666666,780.0,38,0.030705297365784645,0.26303723454475403,0.0866890624165535,780.0,0.8766634464263916
-0.10090448707342148,1.0,0.7333333333333334,800.0,39,0.030722806230187416,0.2630724608898163,0.08673593401908875,800.0,0.8768178820610046
-0.0859687328338623,1.0,0.8666666666666666,820.0,40,0.03071936033666134,0.2630489468574524,0.08671659231185913,820.0,0.8767603039741516
-0.06924860179424286,1.0,0.6833333333333332,840.0,41,0.030729541555047035,0.26310795545578003,0.0867416262626648,840.0,0.8769941329956055
-0.08031626790761948,1.0,0.6833333333333332,860.0,42,0.030760765075683594,0.2630883455276489,0.08682585507631302,860.0,0.8769320845603943
-0.0633290708065033,1.0,0.7166666666666667,880.0,43,0.030749371275305748,0.263099730014801,0.08675570040941238,880.0,0.8769871592521667
-0.07962407916784286,1.0,0.7166666666666667,900.0,44,0.030745258554816246,0.26308971643447876,0.08671242743730545,900.0,0.8769367337226868
-0.08297619223594666,1.0,0.7000000000000001,920.0,45,0.03070373274385929,0.2630450427532196,0.08656012266874313,920.0,0.8767495155334473
-0.09148156642913818,1.0,0.7833333333333332,940.0,46,0.03073141537606716,0.2630593776702881,0.0866556167602539,940.0,0.8767690658569336
-0.0944371148943901,1.0,0.8166666666666668,960.0,47,0.030760476365685463,0.2630249559879303,0.08678188920021057,960.0,0.8766520619392395
-0.08740987628698349,1.0,0.75,980.0,48,0.030769696459174156,0.26308712363243103,0.08679783344268799,980.0,0.8768648505210876
-0.0839202031493187,1.0,0.6833333333333332,1000.0,49,0.030744561925530434,0.2631685137748718,0.08670738339424133,1000.0,0.877178966999054
