train/episode,stats_o/std,test/mean_Q,stats_g/std,test/success_rate,stats_g/mean,epoch,test/episode,train/success_rate,stats_o/mean
100.0,0.07172782719135284,-3.2618730068206787,0.12955693900585175,0.0,0.7427465915679932,0,20.0,0.0033333333333333335,0.1714467853307724
200.0,0.06920845806598663,-5.234680652618408,0.12159786373376846,0.0,0.7426959872245789,1,40.0,0.0,0.17186947166919708
300.0,0.06922350078821182,-7.25189733505249,0.12306207418441772,0.0,0.7433571219444275,2,60.0,0.0033333333333333335,0.1715245097875595
400.0,0.06863575428724289,-9.226853370666504,0.12306580692529678,0.0,0.7439050078392029,3,80.0,0.0,0.17146183550357819
500.0,0.07215060293674469,-11.00136947631836,0.1292763352394104,0.016666666666666666,0.7444260120391846,4,100.0,0.016666666666666666,0.17164164781570435
600.0,0.07325052469968796,-12.649392127990723,0.1324181705713272,0.0,0.7445361614227295,5,120.0,0.01,0.17168809473514557
700.0,0.07530529797077179,-13.72115421295166,0.1355379968881607,0.03333333333333333,0.7461770176887512,6,140.0,0.006666666666666667,0.1722591370344162
800.0,0.07655451446771622,-13.813342094421387,0.14043577015399933,0.0,0.7479752898216248,7,160.0,0.01,0.1725708395242691
900.0,0.0796794593334198,-13.93594741821289,0.1491391658782959,0.03333333333333333,0.7500123977661133,8,180.0,0.013333333333333334,0.17325252294540405
1000.0,0.08225293457508087,-15.564980506896973,0.1540164053440094,0.06666666666666667,0.7521858215332031,9,200.0,0.023333333333333334,0.17367179691791534
1100.0,0.08318809419870377,-16.472190856933594,0.15577000379562378,0.049999999999999996,0.7532444000244141,10,220.0,0.03,0.1740759164094925
1200.0,0.08370181173086166,-16.877870559692383,0.15648533403873444,0.03333333333333333,0.7538566589355469,11,240.0,0.02333333333333333,0.17437432706356049
1300.0,0.08443600684404373,-19.022598266601562,0.15835659205913544,0.016666666666666666,0.7556631565093994,12,260.0,0.02,0.17479629814624786
1400.0,0.08616641908884048,-17.071638107299805,0.1619017869234085,0.05000000000000001,0.7575293183326721,13,280.0,0.05666666666666667,0.1752159744501114
1500.0,0.08839162439107895,-15.43639850616455,0.1657116562128067,0.18333333333333335,0.7595322728157043,14,300.0,0.043333333333333335,0.17568914592266083
1600.0,0.09127134084701538,-15.820284843444824,0.17043568193912506,0.06666666666666667,0.7608838081359863,15,320.0,0.07666666666666666,0.17600886523723602
1700.0,0.09306084364652634,-14.965533256530762,0.17420755326747894,0.16666666666666666,0.7624885439872742,16,340.0,0.06333333333333334,0.1764315962791443
1800.0,0.0945972427725792,-13.977462768554688,0.17721068859100342,0.26666666666666666,0.764906108379364,17,360.0,0.07333333333333333,0.17708371579647064
1900.0,0.09577993303537369,-14.267292022705078,0.1784408688545227,0.26666666666666666,0.7670387625694275,18,380.0,0.10333333333333333,0.17760628461837769
2000.0,0.0961032584309578,-12.986915588378906,0.17943845689296722,0.25,0.769634485244751,19,400.0,0.07333333333333335,0.1782848984003067
2100.0,0.09616398066282272,-13.319903373718262,0.17937235534191132,0.35000000000000003,0.772590696811676,20,420.0,0.11666666666666665,0.17889712750911713
2200.0,0.09602906554937363,-14.128827095031738,0.17908674478530884,0.26666666666666666,0.7754858136177063,21,440.0,0.10666666666666665,0.1794588714838028
2300.0,0.09609433263540268,-15.987449645996094,0.1793542504310608,0.08333333333333333,0.7780601978302002,22,460.0,0.12333333333333334,0.17997877299785614
2400.0,0.09606354683637619,-14.201309204101562,0.17932069301605225,0.26666666666666666,0.7802535891532898,23,480.0,0.09000000000000001,0.18043966591358185
2500.0,0.09600216150283813,-14.743596076965332,0.17895950376987457,0.24999999999999997,0.782581627368927,24,500.0,0.15,0.18093018233776093
2600.0,0.095848947763443,-15.89547061920166,0.17838342487812042,0.26666666666666666,0.7845180034637451,25,520.0,0.13,0.18139934539794922
2700.0,0.09590578824281693,-11.044400215148926,0.17783570289611816,0.4833333333333334,0.7864732146263123,26,540.0,0.13333333333333333,0.18183863162994385
2800.0,0.0958307683467865,-13.651737213134766,0.17755822837352753,0.43333333333333335,0.7878993153572083,27,560.0,0.17333333333333334,0.18212026357650757
2900.0,0.09575625509023666,-14.714875221252441,0.177446648478508,0.2833333333333333,0.7890087962150574,28,580.0,0.11333333333333334,0.1824357956647873
3000.0,0.09581191092729568,-14.802165031433105,0.17719896137714386,0.3333333333333333,0.7902305722236633,29,600.0,0.15,0.18279768526554108
3100.0,0.09589045494794846,-13.077251434326172,0.17689651250839233,0.3666666666666667,0.7915916442871094,30,620.0,0.11666666666666665,0.18307308852672577
3200.0,0.09602580219507217,-11.569897651672363,0.17651616036891937,0.5166666666666666,0.7928225994110107,31,640.0,0.18000000000000002,0.18335561454296112
3300.0,0.09634215384721756,-10.436915397644043,0.1766495257616043,0.4666666666666666,0.7938220500946045,32,660.0,0.15000000000000002,0.18352670967578888
3400.0,0.09635156393051147,-12.202248573303223,0.1762893795967102,0.45,0.7949946522712708,33,680.0,0.1466666666666667,0.18380916118621826
3500.0,0.0960615947842598,-11.61190414428711,0.17583830654621124,0.48333333333333334,0.7959308624267578,34,700.0,0.14666666666666667,0.1840163916349411
3600.0,0.09611278772354126,-14.579071044921875,0.17576585710048676,0.3,0.7969260811805725,35,720.0,0.14333333333333334,0.1842697709798813
3700.0,0.09615004807710648,-12.955897331237793,0.1754884570837021,0.31666666666666665,0.7980461716651917,36,740.0,0.18666666666666668,0.18448352813720703
3800.0,0.09599580615758896,-12.903457641601562,0.17496435344219208,0.39999999999999997,0.7988329529762268,37,760.0,0.17333333333333334,0.18462680280208588
3900.0,0.09632518142461777,-12.741401672363281,0.17497675120830536,0.5166666666666666,0.7996161580085754,38,780.0,0.16666666666666666,0.18474513292312622
4000.0,0.09629825502634048,-14.333849906921387,0.17467431724071503,0.45,0.8004880547523499,39,800.0,0.16333333333333333,0.18487514555454254
4100.0,0.09631425142288208,-12.968502044677734,0.17454348504543304,0.5,0.8013212084770203,40,820.0,0.15666666666666665,0.18505936861038208
4200.0,0.09647750109434128,-15.094099998474121,0.17428100109100342,0.45,0.8018456101417542,41,840.0,0.19000000000000003,0.18522340059280396
4300.0,0.0964931845664978,-12.741801261901855,0.1741340309381485,0.5,0.8025047183036804,42,860.0,0.15333333333333335,0.18541474640369415
4400.0,0.09657230228185654,-12.485032081604004,0.17403125762939453,0.4166666666666667,0.8031466603279114,43,880.0,0.16666666666666666,0.18555359542369843
4500.0,0.09679100662469864,-15.87707233428955,0.17408610880374908,0.3333333333333333,0.8039301037788391,44,900.0,0.15666666666666665,0.1857690066099167
4600.0,0.09698546677827835,-16.094331741333008,0.1739829182624817,0.3,0.8046352863311768,45,920.0,0.15333333333333335,0.18596433103084564
4700.0,0.09718621522188187,-14.317741394042969,0.1740252524614334,0.4666666666666666,0.8052931427955627,46,940.0,0.12,0.1861162930727005
4800.0,0.09720440953969955,-12.717473030090332,0.1739049106836319,0.5,0.8059482574462891,47,960.0,0.18333333333333335,0.18629474937915802
4900.0,0.09707937389612198,-14.000895500183105,0.17355269193649292,0.3666666666666667,0.806654691696167,48,980.0,0.15333333333333332,0.18644504249095917
5000.0,0.09707522392272949,-17.181726455688477,0.17340601980686188,0.35000000000000003,0.8074126243591309,49,1000.0,0.1466666666666667,0.18661363422870636
